#-------------------------------------------------------------------------------
# Copyright 2018 <a href=https://github.com/Sarvesh-D/>Sarvesh Dubey</a>
# 
# Licensed under the Apache License, Version 2.0 (the "License"); you may not
# use this file except in compliance with the License.  You may obtain a copy
# of the License at
# 
#   http://www.apache.org/licenses/LICENSE-2.0
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS, WITHOUT
# WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.  See the
# License for the specific language governing permissions and limitations under
# the License.
#-------------------------------------------------------------------------------
[main] INFO com.ds.lambdas.FunStarter - Users
Bhupati Arora=20
Indra Sharma=25
Balagopal Gowda=21
Bhishma Nair=15
Gayatri Guneta=23
Anaadi Ahluwalia=21
Drona Gandhi=18
Harinarayan Banerjee=22
Chaturaanan Arora=26
Ramaa Shah=15
Bhanumati Prajapat=19
Bheeshma Acharya=22
Madhuri Bhattacharya=22
Aryan Rana=16
Gandharv Dwivedi=22
Abhaya Ganaka=21
Kama Gupta=16
Shobhana Panicker=15
Subhasini Tandon=15
Samir Mukhopadhyay=17
Bala Dubashi=17
Brahmanandam Sharma=15
Durgeshwari Khan=19
Shridevi Bharadwaj=18
Marut Panicker=27
Sarla Adiga=21
Chandak Abbott=20
Sukanya Patil=24
Annapurna Varrier=23
Chakor Varman=27
Bhuvaneshwar Sinha=26
Brajesh Prajapat=26
Anuja Rana=24
Sharda Ahluwalia=14
Kama Varman=16
Bhaaswar Bandopadhyay=27
Bhushit Kocchar=18
Chidambaram Rana=15
Vidhya Ganaka=25
Kama Patil=20
Adwitiya Jain=18
Vishnu Nehru=14
Shubha Kaur=15
Aditya Devar=20
Chandra Nehru=27
Lakshman Iyengar=21
Aaryan Gowda=25
Rajendra Varma=14
Vidur Tagore=16
Ankal Gowda=22
Sheela Chattopadhyay=26
Malati Bharadwaj=16
Aadinath Bandopadhyay=23
Guru Nayar=26
Bhaanumati Nair=19
Aamod Nayar=27
Kumar Sinha=25
Aaryan Kaur=25
Charuchandra Dubashi=17
Aadinath Rana=23
Purushottam Nair=23
Anwesha Iyer=21
Kirti Achari=17
Amrit Jain=23
Kanishka Embranthiri=23
Avadhesh Sharma=24
Agrata Gowda=24
Tanushri Dutta=18
Kanak Sharma=23
Avantika Shah=19
Achyut Kaur=14
Sukanya Iyengar=16
Ganak Gupta=27
Tanya Varman=17
Deeptimoy Tandon=26
Deeptendu Somayaji=21
Arindam Gandhi=15
Gita Talwar=26
Dhananjay Gupta=19
Devasree Bhat=20
Heema Mehrotra=24
Aishani Mahajan=27
Enakshi Malik=23
Gajabahu Desai=24
Balachandra Bharadwaj=14
Bala Kaur=21
Aatmaj Somayaji=22
Harinarayan Arora=24
Rajinder Prajapat=18
Kanishka Bhat=15
Aadidev Deshpande=18
Aasa Adiga=26
Bhaasvan Jain=20
Gemini Guneta=25
Balagopal Dutta=20
Vasundhara Nehru=23
Girika Kakkar=14
Sanka Nayar=23
Chetanaanand Namboothiri=17
Smita Arora=26
Hari Joshi=27
Geeta Kaul=18
Chandraswaroopa Devar=23
Dinkar Mahajan=21
Varalakshmi Varrier=20
Tara Adiga=16
Ekaling Guha=23
Kumuda Namboothiri=21
Arindam Dubashi=26
Gudakesa Deshpande=16
Bhupen Bharadwaj=23
Harita Nambeesan=25
Ganak Nayar=23
Kartik Sinha=25
Uttam Prajapat=17
Chinmayananda Sethi=21
Dayaanidhi Butt=25
Sarla Desai=26
Dev Nehru=21
Nikita Jain=24
Mohinder Abbott=17
Manjusha Kakkar=25
Opalina Arora=23
Divjot Trivedi=19
Girindra Pandey=14
Vidhya Gupta=22
Balaaditya Kaur=20
Ujjwal Johar=21
Dipankar Abbott=17
Anila Jha=15
Darshwana Mishra=14
Devesh Ahuja=19
Adhrit Khan=18
Pranay Reddy=19
Adinath Deshpande=25
Niranjan Acharya=19
Amish Reddy=17
Chandradev Guha=15
Mangalya Menon=20
Kalinda Jain=26
Kanchan Reddy=17
Bhardwaj Mukhopadhyay=23
Jay Varman=14
Gopaal Devar=20
Bhupati Chattopadhyay=21
Sharmila Kaur=18
Sucheta Kocchar=14
Amritambu Rana=17
Chetanaanand Gill=27
Vaijayanthi Achari=14
Bankim Nambeesan=24
Bharat Patil=24
Varalakshmi Shah=18
Dhanu Sinha=25
Aatmaja Guha=26
Dipendra Gupta=22
Somu Chopra=16
Divakar Trivedi=16
Brahma Banerjee=18
Narinder Pandey=26
Ambar Devar=15
Vimala Nehru=14
Laxman Nambeesan=25
Dharmaketu Iyer=27
Adhiraj Bhat=26
Lal Sethi=20
Ujjwal Pothuvaal=18
Harinakshi Desai=19
Bhooshit Sinha=17
Bhaanumati Kaniyar=25
Bhoj Jha=21
Ambar Khan=22
Chandrakala Gupta=27
Draupadi Gupta=17
Saroja Mukhopadhyay=14
Jay Johar=19
Jagdish Gill=17
Ghanaanand Dubashi=14
Ashlesh Joshi=14
Lakshminath Somayaji=18
Navin Guneta=25
Balamani Kaniyar=18
Advaya Nambeesan=20
Prasanna Acharya=23
Brahmanandam Trivedi=20
Meghnad Devar=25
Amrita Saini=27
Somu Varma=17
Aadi Chopra=14
Vaidehi Mehra=18
Sarada Mukhopadhyay=16
Dhanalakshmi Varrier=15
Aamod Kaniyar=26
Chaturbhuj Chattopadhyay=16
Vedanshi Deshpande=18
Sanjay Guneta=22
Triloki Iyer=23
Chidaatma Nambeesan=14
Adhiraj Kapoor=20
Amritambu Verma=17
Anamika Dutta=19
Dhyaneshwar Khatri=19
Niranjan Tagore=24
Mukesh Dubashi=19
Inder Nayar=21
Bishnu Shah=23
Bhooshan Kaur=14
Preity Jha=27
Anjushri Chaturvedi=20
Ameyatma Gandhi=26
Bilwa Chopra=23
Charuchandra Varrier=14
Bilva Ganaka=20
Draupadi Bhattathiri=20
Chitramala Nair=20
Shobhana Kapoor=14
Kumari Menon=14
Rajendra Prajapat=15
Archan Pillai=22
Bandhul Trivedi=14
Padma Menon=18
Dharitri Malik=15
Garud Embranthiri=15
Indra Devar=23
Amaranaath Varman=26
Smita Sinha=27
Amrit Kocchar=19
Oormila Kaul=14
Dharmaketu Iyengar=20
Triloki Iyer=26
Akshata Jain=24
Chandi Reddy=14
Dulari Malik=15
Dron Arora=25
Narendra Pothuvaal=15
Tarun Menon=21
Chakrika Shukla=22
Shakti Sinha=20
Bhudeva Mukhopadhyay=19
Bandhu Gill=24
Daiwik Nehru=24
Puneet Gupta=23
Anilaabh Devar=17
Ajeet Kaul=17
Jay Varman=16
Vasudha Malik=15
Govinda Mukhopadhyay=24
Baala Abbott=16
Dhanu Malik=18
Karan Patil=19
Brajendra Kaul=24
Sher Mukhopadhyay=19
Meenakshi Mukhopadhyay=23
Jagadish Kaniyar=27
Vasanti Chopra=18
Digambara Varrier=15
Tanushri Bhattacharya=24
Meghnad Abbott=15
Lakshmi Pillai=20
Bhargavi Chaturvedi=14
Jagathi Shah=22
Sanya Arora=26
Chandini Chopra=27
Chakor Mehrotra=14
Deependra Chattopadhyay=15
Karan Bandopadhyay=23
Anandamayi Singh=16
Gautami Butt=14
Lakshman Guneta=16
Soma Dutta=15
Narinder Marar=19
Bandhul Dwivedi=25
Pranay Acharya=18
Bahula Butt=27
Balaaditya Dhawan=25
Narayan Mehra=18
Jaimini Achari=26
Gandharv Sinha=17
Anasooya Embranthiri=14
Radha Bharadwaj=22
Trilokanath Chopra=20
Yogesh Banerjee=22
Ghanshyam Menon=20
Arjun Arora=20
Mahendra Mehrotra=18
Dhanu Mishra=27
Dinkar Shah=20
Ashok Varrier=26
Bankim Bhattathiri=22
Maheswar Dubashi=27
Asha Asan=16
Veda Johar=16
Aayushman Iyer=21
Dhana Verma=26
Dhanalakshmi Bhattacharya=15
Jitender Rana=18
Chaturaanan Patil=22
Chandradev Achari=16
Tanushri Agarwal=27
Amaresh Khanna=22
Heema Joshi=24
Udai Verma=24
Lakshmi Achari=23
Indra Mishra=19
Kali Patel=26
Bhisham Saini=24
Sameer Malik=25
Deeptendu Somayaji=25
Adikavi Trivedi=16
Kiran Reddy=17
Arya Chattopadhyay=26
Naveen Ahuja=21
Chandini Khan=25
Rudra Arora=18
Chandravati Rana=20
Satyen Pillai=15
Vasudha Varma=19
Arya Singh=27
Arjun Khan=20
Chandrabhaga Khatri=20
Kanak Arora=16
Dipankar Khanna=14
Vishwamitra Namboothiri=20
Girish Panicker=21
Ravi Nair=25
Prayag Kapoor=23
Narayan Varman=19
Udai Marar=24
Sachin Somayaji=22
Chandraprabha Dwivedi=20
Meghnath Kaur=15
Ajit Joshi=17
Gopaal Shukla=27
Sanka Dubashi=27
Chitrangada Naik=14
Bela Bhat=23
Devika Dubashi=17
Diptendu Joshi=23
Poornima Menon=20
Devvrat Gandhi=21
Akula Panicker=18
Sharda Khan=24
Dayaanidhi Dubashi=14
Esha Jain=18
Vishnu Mukhopadhyay=23
Tanya Tagore=17
Giriraj Iyengar=23
Bhardwaj Sharma=20
Dipendra Somayaji=25
Hiranmay Ahuja=21
Bhushit Joshi=14
Yogesh Ganaka=20
Aditeya Kaul=26
Ekaaksh Khanna=25
Dhyaneshwar Varrier=26
Chatur Bhat=21
Ghanaanand Iyengar=21
Aatreya Singh=22
Ritesh Khatri=16
Jyoti Gupta=25
Anala Dutta=20
Bhaanumati Agarwal=26
Lakshmi Iyengar=23
Baala Khatri=23
Suma Mishra=23
Bhaumik Asan=25
Swami Dwivedi=22
Dinakar Kaul=19
Tanushree Bhattathiri=24
Anaadi Agarwal=14
Baijayanti Dubashi=20
Dhanvin Johar=16
Aditya Adiga=14
Shwet Ahluwalia=21
Aadidev Chopra=17
Ojaswini Bhattathiri=15
Deveshwar Prajapat=16
Suryakant Ahuja=18
Chandrani Dwivedi=14
Giri Nehru=25
Nikita Khatri=17
Digambar Somayaji=21
Chandrani Bharadwaj=17
Mina Verma=16
Adhrit Sharma=18
Divakar Marar=27
Nanda Saini=18
Deepali Dutta=21
Bhanumati Iyengar=21
Vinay Talwar=23
